 11 7180.500300 8.070E-25 5.230E+00.08300.391 2130.49420.67-.012300          1 1 1          0 1 0  5  3  3        5  3  2      4542236065257122 7    33.0   33.0
 11 7180.538677 3.177E-29 5.502E-02.02900.235 3464.88750.40-.024860          1 0 1          0 0 0 13 10  4       14  8  7      344233433231712211    81.0   87.0
 11 7180.613500 2.950E-23 4.626E+00.05820.295 1477.29720.55-.020100          1 0 1          0 0 0  9  5  5        9  5  4      454523606328 322 7    57.0   57.0
 11 7180.729400 1.520E-25 8.895E-05.09080.434  173.36580.710.003016          1 2 0          0 0 0  4  4  1        3  1  2      4542236065257122 7    27.0   21.0
 11 7181.016500 3.010E-24 9.103E-03.09430.434  285.21930.71-.017720          1 0 1          0 0 0  4  1  4        3  3  1      4542236067287122 8     9.0    7.0
 11 7181.082700 1.192E-25 8.386E-01.03880.298 2054.36810.51-.017660          0 0 2          0 0 0 10  6  4       10  7  3      4642236033297122 9    21.0   21.0
 11 7181.096300 6.860E-23 3.830E+00.04420.352 1216.19440.61-.017304          1 2 0          0 0 0  7  7  0        7  6  1      4542236018287122 7    45.0   45.0
 11 7181.100300 1.500E-23 2.513E+00.04050.352 1216.18970.61-.016756          1 2 0          0 0 0  7  7  1        7  6  2      4342236033297122 8    15.0   15.0
 11 7181.112200 2.994E-24 6.567E-01.05460.315 1340.88450.55-.015424          0 2 1          0 0 0 10  4  7        9  4  6      4742236033257122 7    21.0   19.0
 11 7181.121800 1.196E-28 2.181E-03.07310.352 2181.08980.61-.005336          1 3 0          0 1 0  7  4  4        7  1  7      4442336032287122 8    15.0   15.0
 11 7181.155780 1.500E-20 1.323E+01.09970.488  136.76170.71-.012509          1 0 1          0 0 0  2  0  2        3  0  3      5555213063675022 6    15.0   21.0
 11 7181.318700 3.852E-25 2.013E-01.06890.298 1538.14880.51-.016980          1 0 1          0 0 0 11  1 10       10  3  7      4442236033297122 8    23.0   21.0
 11 7181.352400 3.842E-29 2.207E-02.01980.195 3291.14690.34-.016964          0 2 1          0 0 0 17  3 15       17  1 16      444233603231712211   105.0  105.0
 11 7181.461900 1.582E-29 3.476E-02.02130.195 3567.17160.34-.016764          0 2 1          0 0 0 17  4 14       17  2 15      444233603231712211   105.0  105.0
 11 7181.495000 2.922E-29 1.228E+00.06280.195 4174.28450.34-.001760          2 0 0          0 0 0 17  6 11       17  5 12      4442336032297122 9   105.0  105.0
 11 7181.521600 8.510E-25 5.770E-03.07990.352  782.40980.61-.007712          1 2 0          0 0 0  7  5  2        7  2  5      4542236067287122 7    45.0   45.0
 11 7181.597300 8.505E-29 6.213E-03.03540.265 2813.51140.44-.023060          0 0 2          0 0 0 13  5  8       12  8  5      444233603231712211    81.0   75.0
 11 7181.671900 2.945E-29 1.057E+00.08840.352 3967.48850.61-.006160          2 2 0          0 2 0  7  3  4        7  2  5      4442236032257122 7    45.0   45.0
 11 7181.788900 2.812E-28 1.009E-02.07290.352 2572.13930.61-.015920          2 1 0          0 1 0  8  3  6        7  4  3      4642236033287122 8    51.0   45.0
 11 7181.885300 3.570E-28 9.079E-02.03420.235 3084.83470.40-.029260          0 0 2          0 0 0 14  5 10       14  6  9      4642236033297122 9    87.0   87.0
 11 7182.151800 2.551E-26 2.361E-02.07910.298 1616.45240.51-.015260          1 0 1          0 0 0  9  6  3       10  4  6      474223603331712210    19.0   21.0
 11 7182.155730 1.370E-23 1.814E-02.08940.412  382.51690.69-.017340          1 0 1          0 0 0  5  1  5        4  3  2      5542233018287122 8    33.0   27.0
 11 7182.159600 7.763E-27 4.868E-02.04890.265 2275.37190.44-.016080          1 0 1          0 0 0 11  7  5       12  5  8      474223603331712210    69.0   75.0
 11 7182.209110 1.580E-21 1.468E+00.10700.375   42.37170.81-.011569          2 0 0          0 0 0  1  0  1        1  1  0      5558203063794915 6     9.0    9.0
 11 7182.342300 1.303E-27 1.052E-04.02620.298 1114.53130.51-.014712          0 2 1          0 0 0  9  4  5       10  0 10      454223603330712210    19.0   21.0
 11 7182.395500 2.753E-29 9.932E-01.09110.371 3713.08260.63-.007500          2 2 0          0 2 0  6  2  4        6  1  5      4442236032287122 7    13.0   13.0
 11 7182.451230 1.720E-24 4.353E-02.08160.315 1079.07920.55-.011740          1 0 1          0 0 0  8  3  5        9  1  8      5542233067287122 8    51.0   57.0
 11 7182.481800 8.213E-28 2.278E-05.07560.352  816.69420.61-.008808          1 2 0          0 0 0  6  6  0        7  3  5      4442236033287122 8    13.0   15.0
 11 7182.518400 3.019E-28 7.443E-03.02480.221 2631.26710.37-.014472          0 1 1          0 0 0 16  9  7       15  1 14      444233603231712211    99.0   93.0
